tGravityAcc-mean()-X,tGravityAcc-max()-X,"angle(X,gravityMean)",tGravityAcc-mean()-Y,tGravityAcc-energy()-X,"angle(Y,gravityMean)",tGravityAcc-min()-X,tGravityAcc-max()-Y,tGravityAcc-min()-Y,tGravityAcc-energy()-Y,tGravityAccMag-std(),tBodyAccJerk-std()-X,"angle(Z,gravityMean)",fBodyAcc-mean()-X,"fBodyAccJerk-bandsEnergy()-1,16",fBodyAccJerk-max()-X,fBodyAcc-mad()-X,"fBodyAccJerk-bandsEnergy()-1,16_1","tGravityAcc-arCoeff()-Z,2",fBodyAccMag-energy(),tGravityAcc-min()-Z,tGravityAcc-mean()-Z,tGravityAcc-energy()-Z,fBodyAccJerk-energy()-X,"fBodyAccJerk-bandsEnergy()-1,24",fBodyAccMag-mad(),fBodyAcc-entropy()-X,tBodyAccJerkMag-energy(),tBodyGyroJerk-iqr()-Z,tBodyAccJerk-sma()
0.96920266,0.89494092,-0.85156175,-0.15236144,0.91482867,0.18760932,0.98782618,-0.17248553,-0.12692295,-0.96520249,-0.98590171,-0.99123356,-0.034681168,-0.99288633,-0.99995454,-0.99364593,-0.99504873,-0.99964396,0.21862019,-0.99975779,0.083047547,0.081258077,-0.98868542,-0.99990179,-0.99994225,-0.98676484,-1.0,-0.99967823,-0.99137666,-0.98501003
0.96925328,0.89494092,-0.8527234,-0.15006376,0.91496274,0.18605036,0.98861347,-0.17248553,-0.12340878,-0.96639363,-0.99611776,-0.99817933,-0.035852089,-0.99823935,-0.99998932,-0.99818963,-0.99778695,-0.99992845,-0.0013303972,-0.99995274,0.083129108,0.082931213,-0.98817785,-0.99998588,-0.99998747,-0.99471911,-1.0,-0.99988851,-0.99697416,-0.99349983
0.9689963,0.89436796,-0.85065446,-0.1523621,0.91428105,0.18761054,0.98861347,-0.1726059,-0.12646746,-0.96520364,-0.99656707,-0.99919161,-0.035997955,-0.99937732,-0.99999276,-0.99799759,-0.99919352,-0.99996315,0.011595614,-0.99995908,0.083771745,0.083150803,-0.98811148,-0.99999414,-0.99999427,-0.99623576,-1.0,-0.99992705,-0.99764457,-0.99552569
0.96904398,0.89436796,-0.84977267,-0.15414125,0.91440745,0.1888122,0.98889992,-0.17551413,-0.12646746,-0.96428473,-0.9983924,-0.99698535,-0.035063399,-0.99881956,-0.99998887,-0.99800614,-0.99860751,-0.99995879,0.13306446,-0.99998225,0.083557737,0.081819604,-0.988517,-0.99997484,-0.99997966,-0.99773575,-1.0,-0.99992919,-0.99485231,-0.99579558
0.94489486,0.87758813,-0.73093729,-0.29262334,0.85095811,0.28315855,0.94674897,-0.2777543,-0.31953731,-0.85222007,-0.83989567,-0.99027112,0.036443909,-0.98933967,-0.99996527,-0.99488664,-0.99010744,-0.99976732,0.95737213,-0.98568034,-0.047335567,-0.021435523,-0.9977753,-0.99988631,-0.99992052,-0.88354181,-0.90731609,-0.99981686,-0.99294269,-0.99079815
0.95201342,0.8781599,-0.76110079,-0.26311695,0.86950975,0.26311858,0.96863457,-0.2777543,-0.24813963,-0.88412852,-0.98754846,-0.99505528,0.02417211,-0.9956289,-0.99998059,-0.99697403,-0.99613179,-0.99995545,0.95243163,-0.99979625,-0.014843606,-0.0035761635,-0.9997959,-0.99995399,-0.99996643,-0.98524141,-1.0,-0.99994789,-0.99689368,-0.99636226
0.95272437,0.8781599,-0.75917219,-0.26509148,0.87137227,0.26432447,0.97277627,-0.28062914,-0.23590783,-0.88229013,-0.99093187,-0.99481489,0.027014344,-0.99619504,-0.99998339,-0.99412692,-0.99617412,-0.99992045,0.6476996,-0.99986681,-0.010778031,-0.0077089922,-0.99961135,-0.99995113,-0.99997244,-0.98799344,-1.0,-0.99994304,-0.99602026,-0.99561433
0.95306401,0.87888016,-0.75936327,-0.26471825,0.87226299,0.26403279,0.97297016,-0.28303343,-0.23590783,-0.88264601,-0.99268417,-0.99497881,0.029664019,-0.99683409,-0.99998695,-0.99585503,-0.99713821,-0.99992006,0.30086211,-0.9998989,-0.010778031,-0.011556695,-0.99941329,-0.99995309,-0.99996813,-0.99048642,-1.0,-0.99993622,-0.99217055,-0.99590484
0.95360569,0.87908726,-0.76105187,-0.26305774,0.87368389,0.26288599,0.97325777,-0.28300845,-0.23427394,-0.88422429,-0.99741361,-0.99576851,0.029345734,-0.99680119,-0.99998347,-0.99637143,-0.99712409,-0.99994061,0.19806161,-0.99997018,-0.010586199,-0.011094388,-0.99944712,-0.99996213,-0.99997625,-0.9956196,-1.0,-0.99994139,-0.9954686,-0.99577916
0.95359464,0.87908726,-0.76062023,-0.26348997,0.8736549,0.26316935,0.97336429,-0.28300845,-0.23399273,-0.88381482,-0.99879494,-0.99667367,0.029573033,-0.99720497,-0.99997684,-0.99870726,-0.99709815,-0.9999274,0.19508609,-0.99998686,-0.010399701,-0.011425851,-0.99942462,-0.99997172,-0.99998185,-0.99710355,-1.0,-0.99995875,-0.99679529,-0.99662062
0.95313551,0.87877147,-0.76052773,-0.2634369,0.87245047,0.26318349,0.97318829,-0.28187025,-0.23399273,-0.88386424,-0.99798984,-0.99611698,0.030288454,-0.99719829,-0.999978,-0.99774799,-0.9977064,-0.99992988,0.15722109,-0.9999773,-0.010411871,-0.012458678,-0.99935397,-0.99996592,-0.99997999,-0.99724765,-1.0,-0.99993757,-0.99519277,-0.99573927
0.95318325,0.8786168,-0.7620229,-0.26189643,0.87257568,0.26217028,0.97318829,-0.28149769,-0.23351308,-0.88531821,-0.99752775,-0.99550617,0.029986987,-0.99657474,-0.99998924,-0.9967528,-0.99719098,-0.99990908,0.073367805,-0.99997137,-0.010411871,-0.012015606,-0.99938473,-0.99995919,-0.99997544,-0.99640334,-1.0,-0.99988861,-0.9951448,-0.99322256
0.95309294,0.8786168,-0.76150888,-0.26245862,0.87233892,0.26255006,0.97269154,-0.28149769,-0.23493193,-0.88478599,-0.99728461,-0.9956916,0.02963917,-0.9975464,-0.99998712,-0.99665438,-0.99738207,-0.99988954,0.22555884,-0.99996866,-0.010142149,-0.011512171,-0.99941999,-0.99996127,-0.99997075,-0.99671293,-1.0,-0.99986754,-0.99495448,-0.99224884
0.95273161,0.87858596,-0.75896013,-0.26500697,0.87139136,0.26425623,0.97263986,-0.28236083,-0.23580584,-0.88237099,-0.99651065,-0.99671667,0.030456029,-0.99750264,-0.99998909,-0.99818511,-0.99851052,-0.99991831,0.34254024,-0.99995831,-0.011413149,-0.012703514,-0.99933445,-0.99997216,-0.99998435,-0.99635247,-1.0,-0.99989302,-0.99344861,-0.9934745
0.9532188,0.87914624,-0.75897692,-0.2650432,0.87266922,0.26422361,0.97263986,-0.2815548,-0.23580584,-0.88233553,-0.99494985,-0.99683571,0.030743151,-0.99865677,-0.99998479,-0.99734216,-0.99850011,-0.99989675,0.41335749,-0.99993562,-0.011413149,-0.013126421,-0.99930451,-0.99997333,-0.99997929,-0.99439497,-1.0,-0.99989656,-0.99102218,-0.99374394
0.95419361,0.8799811,-0.76219671,-0.26194319,0.87522686,0.26209013,0.97384493,-0.28034554,-0.23540523,-0.88526668,-0.99441625,-0.99605338,0.029403668,-0.99747202,-0.99998635,-0.99722903,-0.99711173,-0.99994259,0.21906906,-0.99992749,-0.011160708,-0.011180786,-0.99943833,-0.99996523,-0.99996637,-0.9933374,-1.0,-0.99988223,-0.99242805,-0.99260664
0.95458893,0.8799811,-0.76370208,-0.26049928,0.87626443,0.26110336,0.97436858,-0.28034554,-0.23064937,-0.88663004,-0.99776154,-0.99656406,0.028562963,-0.99898187,-0.99999904,-0.99353841,-0.99936959,-0.99995517,0.010519388,-0.99997427,-0.0083157299,-0.0099594009,-0.99952063,-0.9999706,-0.99997928,-0.99825222,-1.0,-0.99989417,-0.99477033,-0.99382783
0.87409866,0.86053314,-0.66708465,0.042479149,0.67244755,0.054216165,0.84957326,0.15158093,-0.19754314,-0.95460358,-0.18717165,-0.98122357,-0.21887457,-0.92128754,-0.99996039,-0.98658885,-0.92114841,-0.99876362,0.99917535,-0.66472232,0.11301998,0.33309449,-0.76875065,-0.99969632,-0.99978756,-0.35864225,-0.41123535,-0.99931329,-0.98950443,-0.97442362
0.83566368,0.79063055,-0.56480737,0.16067501,0.57709208,-0.027044798,0.84957326,0.15158093,0.1212898,-0.93761402,-0.93195422,-0.99243453,-0.26605456,-0.98612352,-0.99997115,-0.99405473,-0.98637664,-0.99980302,0.96468337,-0.9970138,0.38425838,0.39982173,-0.69232355,-0.99991976,-0.99995521,-0.95062368,-0.89287915,-0.99988673,-0.99534412,-0.99259739
0.83695957,0.76602185,-0.57936742,0.15187734,0.5801554,-0.021566893,0.85049913,0.14608124,0.16770112,-0.94407951,-0.97105963,-0.9946122,-0.2575301,-0.99293691,-0.99998561,-0.99685212,-0.99366183,-0.99993939,0.68868295,-0.99929022,0.38425838,0.38646765,-0.71309038,-0.99994868,-0.99998126,-0.97145278,-0.90731609,-0.99990655,-0.99717424,-0.99448637
0.83878762,0.76878451,-0.58280626,0.15070183,0.58455207,-0.020755925,0.85834757,0.14121255,0.16770112,-0.94494809,-0.50812531,-0.88383041,-0.25526977,-0.80764453,-0.99505655,-0.90560984,-0.79522808,-0.98737646,0.88999113,-0.87523456,0.36469057,0.38345181,-0.71760866,-0.99250067,-0.99267391,-0.56971946,-0.0047925363,-0.99099279,-0.98820232,-0.91047826
0.81080506,0.76878451,-0.5529392,0.19559534,0.51947242,-0.053538987,0.71629126,0.28506416,0.17443494,-0.90699628,-0.49055481,-0.85803037,-0.26042439,-0.81335631,-0.99397354,-0.89979576,-0.77136463,-0.98498706,0.91727144,-0.86636946,0.36126111,0.38713197,-0.7111404,-0.98901932,-0.98866111,-0.56621364,-0.066209672,-0.98797849,-0.91267578,-0.86185759
0.70308608,0.76859123,-0.41836808,0.31406786,0.28138849,-0.14254902,0.62498772,0.39183539,0.19868948,-0.77223124,-0.48451097,-0.92242832,-0.30588383,-0.85010909,-0.99924867,-0.93055684,-0.86135444,-0.99804526,0.87194587,-0.8632297,0.36126111,0.43977403,-0.62157169,-0.99647825,-0.99668282,-0.65907776,-0.20321947,-0.99680801,-0.97853476,-0.94183027
0.6182581,0.61323374,-0.30588411,0.40950272,0.097539102,-0.21333904,0.62498772,0.39281965,0.34623514,-0.64576277,-0.89361999,-0.98969999,-0.33700092,-0.9677791,-0.99993061,-0.99498622,-0.96571957,-0.99968342,0.9847257,-0.99331243,0.4572025,0.4812985,-0.55218838,-0.99987673,-0.9999197,-0.90132679,-0.68759656,-0.99983206,-0.99574563,-0.99059427
0.6220655,0.55810315,-0.30919487,0.41986657,0.10489711,-0.22111662,0.62614858,0.39281965,0.43370891,-0.62990781,-0.9566084,-0.99358012,-0.32645795,-0.98339322,-0.99999385,-0.99636173,-0.98277103,-0.99996591,0.86871496,-0.99862551,0.46379792,0.46862799,-0.57587818,-0.99993556,-0.99997218,-0.95723704,-0.85400629,-0.9999482,-0.9980109,-0.99659421
0.62745102,0.55810315,-0.3167322,0.41503721,0.11567687,-0.21772934,0.65132063,0.37855379,0.43370891,-0.63811378,-0.99550157,-0.99740715,-0.32332877,-0.99597643,-0.9999892,-0.99789397,-0.99507817,-0.99997103,0.78871109,-0.99994398,0.46379792,0.46423103,-0.58403938,-0.9999789,-0.9999854,-0.99471872,-0.94635692,-0.99996602,-0.99674588,-0.99800229
0.62532313,0.55392299,-0.31457502,0.41648854,0.11136634,-0.2189352,0.65132063,0.37855379,0.43508944,-0.63568795,-0.99906531,-0.99646841,-0.32398842,-0.99612732,-0.99999307,-0.99684636,-0.99637142,-0.99996324,0.087409964,-0.99998966,0.46583901,0.46494774,-0.58274265,-0.99996962,-0.99997843,-0.9987991,-0.94635692,-0.99995226,-0.99493081,-0.99675544
0.62577398,0.55365758,-0.31488562,0.4168573,0.11227705,-0.21916689,0.65179327,0.37906927,0.43715959,-0.63507009,-0.9955942,-0.99488413,-0.32348431,-0.99529816,-0.99998551,-0.99672054,-0.99524515,-0.99991895,0.17452078,-0.99994542,0.46583901,0.46439573,-0.58374579,-0.99995196,-0.99996106,-0.99294616,-0.94635692,-0.99994382,-0.99385984,-0.99606305
0.89093772,0.83656109,-0.65435613,0.11359108,0.71304125,0.0061411057,0.89503171,0.15701761,0.11467318,-0.965553,-0.94594716,-0.98434397,-0.21275283,-0.98333264,-0.99994075,-0.98758615,-0.98285912,-0.99939524,0.79071757,-0.99800238,0.32643081,0.33032214,-0.79143464,-0.99977104,-0.99983531,-0.94319124,-0.8207533,-0.99960853,-0.99400729,-0.98335441
0.87653997,0.81832977,-0.65078203,0.12558056,0.67696952,-0.0030485384,0.89495487,0.11045559,0.11750282,-0.95969232,-0.94767986,-0.99051461,-0.21119617,-0.98981469,-0.99996629,-0.99310748,-0.98918138,-0.99993826,0.45136699,-0.9981116,0.32643081,0.32520586,-0.79800686,-0.9998903,-0.99992484,-0.9585279,-0.90731609,-0.99986906,-0.99625444,-0.99258489
0.87482213,0.80223406,-0.64514606,0.14006721,0.67268543,-0.013061244,0.89495487,0.11069293,0.15705003,-0.95174373,-0.99577426,-0.99447393,-0.21042962,-0.99443506,-0.99996499,-0.99639455,-0.99465281,-0.99996665,0.22418371,-0.99994806,0.32602192,0.32441057,-0.79901352,-0.99994699,-0.99995273,-0.99399387,-1.0,-0.99989779,-0.99589806,-0.9935395
0.8764618,0.80246354,-0.64657849,0.1392361,0.67675121,-0.012405519,0.89682418,0.11069293,0.16094201,-0.95225008,-0.9938755,-0.99264049,-0.20965049,-0.99263436,-0.99995688,-0.99607195,-0.99287618,-0.99996324,0.2077236,-0.99991896,0.32550439,0.32357956,-0.80006036,-0.9999227,-0.99995189,-0.99251046,-1.0,-0.99988135,-0.99736227,-0.99288779
0.87645385,0.80246354,-0.64706219,0.13843401,0.67673141,-0.011866506,0.89708448,0.11265524,0.16094201,-0.95273563,-0.99281205,-0.99387916,-0.20955912,-0.9941993,-0.99996865,-0.99646019,-0.99531538,-0.99994996,0.14113931,-0.99990101,0.32550439,0.3233988,-0.80028799,-0.99993947,-0.99997051,-0.99185734,-1.0,-0.99989506,-0.99655715,-0.99385875
0.87538094,0.80216168,-0.64510509,0.14222283,0.67406982,-0.014516278,0.89639725,0.11441559,0.16114168,-0.9504103,-0.99324099,-0.9952061,-0.20966409,-0.99498345,-0.99998364,-0.99706459,-0.9952184,-0.99995134,0.50071993,-0.99990846,0.32537929,0.32351271,-0.80014484,-0.99995575,-0.99998178,-0.99118565,-0.94635692,-0.99990672,-0.99548944,-0.99449912
0.87579788,0.80274896,-0.64633366,0.14258451,0.67510457,-0.014783523,0.89639725,0.11441559,0.16424515,-0.95019443,-0.99402631,-0.99358183,-0.20853819,-0.99404402,-0.99997373,-0.99718209,-0.9950931,-0.99994223,0.48701564,-0.99992142,0.3216864,0.32194771,-0.80210172,-0.99993558,-0.99997101,-0.99145924,-0.94635692,-0.99992372,-0.99462626,-0.99525309
0.87599536,0.80274896,-0.64799745,0.14162959,0.6755942,-0.014168187,0.89651331,0.11452424,0.16424515,-0.95078908,-0.99767465,-0.99237312,-0.20755542,-0.99461052,-0.99997498,-0.99165299,-0.99506157,-0.99996265,0.4466005,-0.99997345,0.3216864,0.3204761,-0.8039431,-0.99991888,-0.99996037,-0.99602734,-1.0,-0.99994092,-0.99325348,-0.9958489
0.87478155,0.80180866,-0.64625395,0.14485798,0.67258341,-0.016451134,0.8963139,0.11586273,0.16504084,-0.94877602,-0.99825604,-0.99277413,-0.20766551,-0.99558307,-0.9999748,-0.98835479,-0.99579336,-0.999955,0.4168477,-0.99998071,0.32193868,0.32053935,-0.80386565,-0.99992458,-0.99997115,-0.99810681,-1.0,-0.99992339,-0.99466795,-0.99435586
0.87474639,0.80079378,-0.64604389,0.14560336,0.67249612,-0.016965715,0.8963139,0.11586273,0.16844061,-0.94831321,-0.99653821,-0.99276362,-0.20754128,-0.99492259,-0.9999778,-0.99403701,-0.99579361,-0.99993568,0.37635859,-0.9999587,0.3219711,0.32038708,-0.80405487,-0.99992443,-0.99996532,-0.99568965,-1.0,-0.99990338,-0.99382695,-0.99377644
0.8742316,0.80079378,-0.6448514,0.14572717,0.67122109,-0.017046458,0.89443607,0.11802751,0.16844061,-0.94823201,-0.9949077,-0.99265114,-0.20844898,-0.99475289,-0.99997727,-0.99218353,-0.99478379,-0.99996324,0.36960837,-0.99993519,0.3219711,0.32162961,-0.80250101,-0.99992285,-0.99993884,-0.99354818,-1.0,-0.99991207,-0.9924711,-0.99528042
0.87324201,0.80001788,-0.64322033,0.14758583,0.66876946,-0.018360329,0.89441143,0.11814495,0.16910986,-0.94705191,-0.99486796,-0.99396693,-0.20900476,-0.99527834,-0.9999829,-0.99605008,-0.99565779,-0.99996139,0.42175286,-0.99993461,0.32277681,0.32233576,-0.80162052,-0.9999406,-0.99995786,-0.9940028,-0.94635692,-0.99993469,-0.99390216,-0.99566147
0.87410872,0.80081269,-0.64545984,0.1456773,0.67091688,-0.017047243,0.89441143,0.11814495,0.16737981,-0.94825608,-0.99536861,-0.99309444,-0.20796204,-0.99296524,-0.99997244,-0.99595417,-0.99620245,-0.99996232,0.147497,-0.99994205,0.32198032,0.32087334,-0.80344784,-0.99992901,-0.99996769,-0.99329207,-1.0,-0.99991068,-0.99509596,-0.9937356
-0.25504375,-0.27190525,0.43247853,0.77465873,-0.95357982,-0.55335148,-0.28910234,0.72922751,0.78650142,0.21233212,-0.83169609,-0.94745338,-0.43287564,-0.92631396,-0.99859196,-0.96596042,-0.92201452,-0.99524677,0.83106826,-0.98426486,0.57843842,0.58977655,-0.32464753,-0.99826885,-0.99859154,-0.84740112,-0.43048731,-0.99733906,-0.99206216,-0.95936643
-0.21014776,-0.27190525,0.39985328,0.7739047,-0.93565059,-0.55036444,-0.19419584,0.72922751,0.78712383,0.21002685,-0.97847045,-0.9928808,-0.42759273,-0.98687443,-0.99995249,-0.99516354,-0.98611876,-0.99990738,0.81237378,-0.99955096,0.57843842,0.58511978,-0.33579838,-0.99992606,-0.99995003,-0.97996146,-0.8207533,-0.9998775,-0.997371,-0.99274964
-0.20876483,-0.2721186,0.39906577,0.77171208,-0.93504242,-0.54672465,-0.16510276,0.72518563,0.78665169,0.20332807,-0.99609738,-0.99488847,-0.43124421,-0.99361477,-0.99996648,-0.99737683,-0.99504283,-0.99994608,0.59665293,-0.99995265,0.58983598,0.58994727,-0.32474075,-0.99995201,-0.99996977,-0.99632787,-0.90731609,-0.99991997,-0.99342271,-0.99532551
-0.20956406,-0.27787264,0.39955483,0.77109662,-0.93543728,-0.54647681,-0.16510276,0.72357116,0.78619681,0.2014531,-0.99870535,-0.99439037,-0.43164599,-0.99574989,-0.99996047,-0.99420445,-0.9965224,-0.9999736,0.19727246,-0.99998593,0.59186563,0.59010467,-0.32437767,-0.99994595,-0.99996162,-0.9990687,-0.94635692,-0.99994458,-0.9953024,-0.996367
-0.20874807,-0.27787264,0.3988886,0.77103706,-0.93504006,-0.54671226,-0.16347696,0.72351873,0.78619681,0.20127172,-0.99827359,-0.99483938,-0.43120727,-0.99651117,-0.99996916,-0.9968923,-0.99590995,-0.99998313,0.29555051,-0.9999809,0.59097868,0.58941397,-0.32597303,-0.99995143,-0.99996923,-0.99775192,-1.0,-0.99994061,-0.99828161,-0.99631902
-0.20871697,-0.27772943,0.39889738,0.77129107,-0.93502487,-0.54685884,-0.16308855,0.72351892,0.78638623,0.20204511,-0.99587294,-0.99236682,-0.43105379,-0.99470159,-0.99995103,-0.99268089,-0.99476254,-0.99998105,0.22613322,-0.99994911,0.59097868,0.58933471,-0.32615618,-0.99991879,-0.99994254,-0.99500852,-0.94635692,-0.99988914,-0.99670527,-0.99414601
-0.20863346,-0.27768159,0.39888109,0.77135108,-0.93498404,-0.54671715,-0.16325144,0.72356338,0.78655448,0.20222787,-0.99633327,-0.99194015,-0.43119994,-0.99403729,-0.99994466,-0.99115516,-0.99447602,-0.99991227,0.16335716,-0.99995596,0.59155497,0.58963487,-0.32546335,-0.99991254,-0.99993287,-0.99516517,-0.94635692,-0.99988559,-0.99637199,-0.99334076
-0.20856027,-0.27682849,0.39877771,0.7707487,-0.93494815,-0.54624972,-0.16325144,0.72356338,0.78504206,0.2003948,-0.99472458,-0.99469772,-0.43166802,-0.99569054,-0.99996435,-0.99600391,-0.99606802,-0.99992637,0.37947132,-0.99993243,0.59170357,0.59001704,-0.32457967,-0.99994972,-0.99995966,-0.9927993,-1.0,-0.9999164,-0.99680421,-0.99503111
-0.20760682,-0.27547292,0.39801973,0.76992271,-0.93448046,-0.54555047,-0.16324532,0.72298922,0.78503566,0.19788152,-0.99389022,-0.99435908,-0.43219711,-0.99529395,-0.9999617,-0.99701624,-0.99557539,-0.99990247,0.389767,-0.99991921,0.59236945,0.5904504,-0.32357803,-0.99994556,-0.9999608,-0.99178736,-1.0,-0.99989164,-0.9951136,-0.99334766
-0.20636268,-0.27528116,0.39713425,0.7692959,-0.93386935,-0.54467991,-0.16163737,0.72195521,0.78402049,0.19597683,-0.99579684,-0.99220776,-0.43287147,-0.99307421,-0.99994811,-0.99420621,-0.99399805,-0.99989503,0.26446831,-0.99994797,0.59239306,0.59130586,-0.32159574,-0.99991647,-0.9999416,-0.99506529,-1.0,-0.99986562,-0.99414109,-0.99130801
-0.20649916,-0.27528116,0.3973035,0.7691518,-0.93393651,-0.54419774,-0.16166286,0.72215517,0.78402049,0.1955391,-0.99701193,-0.99252096,-0.43343266,-0.99480416,-0.99994914,-0.99316454,-0.99563325,-0.99995987,0.30481659,-0.99996508,0.59331901,0.59214322,-0.31965605,-0.99992099,-0.99994013,-0.99666019,-0.94635692,-0.99990061,-0.99630817,-0.99364693
-0.20702615,-0.27572579,0.39775801,0.76962832,-0.93419608,-0.54444236,-0.16166323,0.7221935,0.78418985,0.19698672,-0.99868238,-0.99331535,-0.43330166,-0.9951802,-0.99995923,-0.99677233,-0.99571855,-0.99995544,0.20094892,-0.99998544,0.5938509,0.59219232,-0.3195421,-0.99993202,-0.99994385,-0.99804386,-1.0,-0.99991369,-0.99583559,-0.99420922
-0.20699211,-0.27609877,0.39779057,0.76946735,-0.93417939,-0.54399111,-0.16166323,0.7221935,0.78468248,0.19649751,-0.99877904,-0.99130441,-0.43379089,-0.99354586,-0.9999577,-0.99475623,-0.99498054,-0.99995417,0.034896525,-0.99998656,0.59385436,0.59291655,-0.31786015,-0.99990289,-0.99993381,-0.99823885,-1.0,-0.99989757,-0.99502052,-0.99359804
0.044743889,0.36664438,0.20575936,0.75845367,-0.73088343,-0.53610387,-0.034266092,0.74614387,0.64514204,0.16687362,-0.41726279,-0.919918,-0.36073577,-0.66860442,-0.99813566,-0.94528365,-0.68057348,-0.9956783,0.92252504,-0.8259663,0.34610209,0.50493607,-0.50055744,-0.996267,-0.9979677,-0.4624772,-0.062930312,-0.99398008,-0.97214309,-0.91926748
